TQ:Q, TS:S, q_pos, s_pos, q, s, d
77637:6, 1066:2, 0, 0, [], [], 0.000
77637:6, 1068:0, 0, 1, [], [], 0.000
77637:6, 1083:1, 0, 2, [], [], 0.000
77637:6, 1083:2, 0, 2, [], [], 0.000
77637:6, 1086:0, 0, 2, [], [], 0.000
77637:6, 1096:0, 0, 2, [], [], 0.000
77637:6, 1099:6, 0, 0, [], [], 0.000
77637:6, 1108:0, 0, 2, [], [], 0.000
77637:6, 1108:1, 0, 5, [], [], 0.000
77637:6, 1108:3, 0, 2, [], [], 0.000
77637:6, 1113:5, 0, 0, [], [], 0.000
77637:6, 1122:0, 0, 0, [], [], 0.000
77637:6, 1124:3, 0, 2, [], [], 0.000
77637:6, 1127:1, 0, 1, [], [], 0.000
77637:6, 1127:4, 0, 0, [], [], 0.000
77637:6, 1140:0, 0, 3, [], [], 0.000
77637:6, 1140:6, 0, 3, [], [], 0.000
77637:6, 1140:8, 0, 2, [], [], 0.000
77637:6, 1140:9, 0, 2, [], [], 0.000
77637:6, 1141:1, 0, 2, [], [], 0.000
77637:6, 1147:0, 0, 2, [], [], 0.000
77637:6, 1147:1, 0, 5, [], [], 0.000
77637:6, 1147:3, 0, 2, [], [], 0.000
77637:6, 1148:2, 0, 0, [], [], 0.000
77637:6, 1165:5, 0, 0, [], [], 0.000
77637:6, 1169:0, 0, 2, [], [], 0.000
77637:6, 1169:4, 0, 1, [], [], 0.000
77637:6, 1180:0, 0, 2, [], [], 0.000
77637:6, 1180:1, 0, 5, [], [], 0.000
77637:6, 1180:3, 0, 2, [], [], 0.000
77637:6, 1181:4, 0, 2, [], [], 0.000
77637:6, 1184:0, 0, 2, [], [], 0.000
77637:6, 1184:1, 0, 2, [], [], 0.000
77637:6, 1184:10, 0, 2, [], [], 0.000
77637:6, 1184:26, 0, 3, [], [], 0.000
77637:6, 1185:0, 0, 2, [], [], 0.000
77637:6, 1193:0, 0, 1, [], [], 0.000
77637:6, 1193:5, 0, 1, [], [], 0.000
77637:6, 1196:6, 0, 0, [], [], 0.000
77637:6, 5958:1, 0, 0, [], [], 0.000
77637:6, 1210:0, 0, 2, [], [], 0.000
77637:6, 1214:6, 0, 0, [], [], 0.000
77637:6, 1221:5, 0, 2, [], [], 0.000
77637:6, 1224:0, 0, 1, [], [], 0.000
77637:6, 1228:7, 0, 2, [], [], 0.000
77637:6, 1234:6, 0, 0, [], [], 0.000
77637:6, 1243:1, 0, 1, [], [], 0.000
77637:6, 1247:0, 0, 2, [], [], 0.000
77637:6, 1247:3, 0, 2, [], [], 0.000
77637:6, 1247:4, 0, 2, [], [], 0.000
77637:6, 1247:5, 0, 2, [], [], 0.000
77637:6, 1262:0, 0, 2, [], [], 0.000
77637:6, 1262:4, 0, 2, [], [], 0.000
77637:6, 1262:7, 0, 1, [], [], 0.000
77637:6, 1262:8, 0, 3, [], [], 0.000
77637:6, 1280:7, 0, 1, [], [], 0.000
77637:6, 1286:7, 0, 0, [], [], 0.000
77637:6, 1295:1, 0, 1, [], [], 0.000
