k,d,recall,time
623,0.322334,1.000000,1.596089
624,0.322559,1.000000,1.596089
625,0.322661,1.000000,1.596089
626,0.322732,1.000000,1.596089
627,0.322975,1.000000,1.596089
628,0.322975,1.000000,1.596089
629,0.322983,1.000000,1.596089
630,0.323049,0.989011,1.596089
631,0.323057,0.990581,1.596089
632,0.323057,0.992151,1.596089
633,0.323061,0.993721,1.596089
634,0.323146,0.995290,1.596089
635,0.323431,0.996860,1.596089
636,0.323431,0.998430,1.596089
637,0.323458,1.000000,1.596089
638,0.323509,1.000000,1.596089
639,0.323543,1.000000,1.596089
640,0.323766,1.000000,1.596089
641,0.323818,1.000000,1.596089
642,0.323851,1.000000,1.596089
643,0.323866,1.000000,1.596089
644,0.323930,1.000000,1.596089
645,0.323981,1.000000,1.596089
646,0.324050,0.990798,1.596089
647,0.324268,0.992331,1.596089
648,0.324301,0.993865,1.596089
649,0.324304,0.995399,1.596089
650,0.324306,0.996933,1.596089
651,0.324308,0.998466,1.596089
652,0.324487,1.000000,1.596089
653,0.324627,1.000000,1.596089
654,0.324674,1.000000,1.596089
655,0.324725,1.000000,1.596089
656,0.324725,1.000000,1.596089
657,0.324725,1.000000,1.596089
658,0.324725,1.000000,1.596090
659,0.324795,1.000000,1.596090
660,0.324797,1.000000,1.596090
661,0.324999,1.000000,1.596090
662,0.325045,0.996988,1.596090
663,0.325239,0.998494,1.596090
664,0.325327,1.000000,1.596090
665,0.325617,1.000000,1.596090
666,0.325917,1.000000,1.596090
667,0.325920,1.000000,1.596090
668,0.325967,1.000000,1.596090
669,0.325994,1.000000,1.596090
670,0.326021,0.992593,1.596090
671,0.326093,0.994074,1.596090
672,0.326181,0.995556,1.596090
673,0.326229,0.997037,1.596090
674,0.326304,0.998519,1.596090
675,0.326425,1.000000,1.596090
676,0.326697,1.000000,1.596090
677,0.326730,1.000000,1.596090
678,0.326835,1.000000,1.596090
679,0.326852,1.000000,1.596090
680,0.327020,0.998532,1.596090
681,0.327170,1.000000,1.596090
682,0.327597,1.000000,1.596090
683,0.327597,1.000000,1.596090
