tq:q,ts:s,overlap
t1793:c0,t9683542:c3,96
t1793:c0,t9683542:c3,97
t1793:c0,t6359497:c3,93
t1793:c0,t6359497:c3,96
t1793:c0,t6359497:c3,96
t1793:c0,t6359497:c3,62
t1793:c0,t1040921:c3,99
t1793:c0,t1040921:c3,97
t1793:c0,t1126237:c3,82
t1793:c0,t1839410:c3,99
t1793:c0,t1839410:c3,97
t1793:c0,t1839410:c3,96
t1793:c0,t1839410:c3,84
t1793:c0,t2135573:c3,89
t1793:c0,t2135573:c3,95
t1793:c0,t2135573:c3,94
t1793:c0,t2456584:c3,96
t1793:c0,t2456584:c3,69
t1793:c0,t2456584:c3,84
t1793:c0,t2899292:c3,93
t1793:c0,t2899292:c3,99
t1793:c0,t2899292:c3,81
t1793:c0,t3274228:c3,99
t1793:c0,t3274228:c3,88
t1793:c0,t3274228:c3,94
t1793:c0,t3274228:c3,95
t1793:c0,t3321760:c3,99
t1793:c0,t3321760:c3,99
t1793:c0,t3321760:c3,83
t1793:c0,t360436:c3,94
t1793:c0,t5374414:c3,99
t1793:c0,t5374414:c3,99
t1793:c0,t5374414:c3,80
t1793:c0,t5410705:c3,98
t1793:c0,t5640287:c3,99
t1793:c0,t5640287:c3,98
t1793:c0,t5640287:c3,94
t1793:c0,t5640287:c3,98
t1793:c0,t5640287:c3,89
t1793:c0,t5640287:c3,99
t1793:c0,t5640287:c3,92
t1793:c0,t5874053:c3,99
t1793:c0,t6119143:c3,97
t1793:c0,t6471012:c3,99
t1793:c0,t6471012:c3,99
t1793:c0,t6471012:c3,99
t1793:c0,t6471012:c3,98
t1793:c0,t6581779:c3,99
t1793:c0,t6581779:c3,98
t1793:c0,t6581779:c3,96
t1793:c0,t6581779:c3,86
t1793:c0,t7154198:c3,99
t1793:c0,t7396483:c3,97
t1793:c0,t7396483:c3,70
t1793:c0,t7434640:c3,96
t1793:c0,t7434640:c3,85
t1793:c0,t7653017:c3,97
t1793:c0,t8506527:c3,99
t1793:c0,t8606921:c3,97
t1793:c0,t8606921:c3,98
t1793:c0,t8715124:c3,99
t1793:c0,t8715124:c3,88
t1793:c0,t8715124:c3,94
t1793:c0,t8715124:c3,95
t1793:c0,t8951244:c3,97
t1793:c0,t8951244:c3,92
t1793:c0,t9671222:c3,99
t1793:c0,t9671222:c3,99
t1793:c0,t9671222:c3,71
t1793:c0,t9876430:c3,99
t1793:c0,t10047649:c3,94
t1793:c0,t1043440:c3,98
t1793:c0,t1043440:c3,99
t1793:c0,t1043440:c3,92
t1793:c0,t1120803:c3,96
t1793:c0,t1199711:c3,99
t1793:c0,t1199711:c3,99
t1793:c0,t1199711:c3,81
t1793:c0,t1201025:c3,98
t1793:c0,t1201025:c3,97
t1793:c0,t1301448:c3,98
t1793:c0,t1301448:c3,86
t1793:c0,t1619700:c3,98
t1793:c0,t1692020:c3,95
t1793:c0,t1822573:c3,98
t1793:c0,t189276:c3,99
t1793:c0,t2398276:c3,95
t1793:c0,t2398276:c3,97
t1793:c0,t2398276:c3,94
t1793:c0,t2398276:c3,99
t1793:c0,t2398276:c3,99
t1793:c0,t2500705:c3,96
t1793:c0,t2612899:c3,99
t1793:c0,t2612899:c3,99
t1793:c0,t2612899:c3,99
t1793:c0,t2612899:c3,84
t1793:c0,t2948140:c3,98
t1793:c0,t3134199:c3,96
t1793:c0,t3295059:c3,98
t1793:c0,t3295059:c3,93
t1793:c0,t3295059:c3,95
t1793:c0,t3295059:c3,98
t1793:c0,t3310496:c3,99
t1793:c0,t3312362:c3,98
t1793:c0,t3391192:c3,99
t1793:c0,t3557382:c3,99
t1793:c0,t3557382:c3,99
t1793:c0,t3690030:c3,95
t1793:c0,t3975590:c3,99
t1793:c0,t4048039:c3,95
t1793:c0,t4358853:c3,87
t1793:c0,t4358853:c3,97
t1793:c0,t4387083:c3,90
t1793:c0,t4387083:c3,96
t1793:c0,t4387083:c3,96
t1793:c0,t4499564:c3,99
t1793:c0,t4746517:c3,93
t1793:c0,t4854762:c3,95
t1793:c0,t4854762:c3,99
t1793:c0,t5063412:c3,99
t1793:c0,t5063412:c3,99
t1793:c0,t5063412:c3,99
t1793:c0,t5063412:c3,99
t1793:c0,t5063412:c3,83
t1793:c0,t5129968:c3,82
t1793:c0,t5129968:c3,99
t1793:c0,t5291874:c3,99
t1793:c0,t5517316:c3,91
t1793:c0,t582563:c3,82
t1793:c0,t582563:c3,98
t1793:c0,t6108695:c3,99
t1793:c0,t6234706:c3,99
t1793:c0,t6934312:c3,99
t1793:c0,t7310667:c3,93
t1793:c0,t7334860:c3,92
t1793:c0,t7334860:c3,99
t1793:c0,t785881:c3,96
t1793:c0,t7973360:c3,98
t1793:c0,t8023712:c3,99
t1793:c0,t8023712:c3,98
t1793:c0,t8023712:c3,82
t1793:c0,t8070271:c3,99
t1793:c0,t8081154:c3,99
t1793:c0,t8269220:c3,94
t1793:c0,t8677751:c3,99
t1793:c0,t8941086:c3,99
t1793:c0,t8941086:c3,99
t1793:c0,t8941086:c3,81
t1793:c0,t916417:c3,98
t1793:c0,t9184065:c3,99
t1793:c0,t9184065:c3,98
t1793:c0,t9184065:c3,94
t1793:c0,t9184065:c3,81
t1793:c0,t9203744:c3,87
t1793:c0,t9203744:c3,97
t1793:c0,t9373081:c3,95
t1793:c0,t952551:c3,96
t1793:c0,t952551:c3,97
t1793:c0,t9721701:c3,95
t1793:c0,t4917262:c3,91
t1793:c0,t4917262:c3,98
t1793:c0,t4917262:c3,98
t1793:c0,t8700709:c3,57
t1793:c0,t8700709:c3,52
t1793:c0,t10123484:c3,99
t1793:c0,t10123484:c3,99
t1793:c0,t10123484:c3,99
t1793:c0,t10123484:c3,77
t1793:c0,t10125921:c3,99
t1793:c0,t1131325:c3,99
t1793:c0,t1133209:c3,90
t1793:c0,t1133209:c3,99
t1793:c0,t1224543:c3,98
t1793:c0,t1309567:c3,97
t1793:c0,t1550779:c3,97
t1793:c0,t1683871:c3,81
t1793:c0,t1683871:c3,98
t1793:c0,t1683871:c3,98
t1793:c0,t2117369:c3,98
t1793:c0,t213344:c3,99
t1793:c0,t219732:c3,98
t1793:c0,t2218323:c3,99
t1793:c0,t2218323:c3,98
t1793:c0,t2218323:c3,98
t1793:c0,t2218323:c3,82
t1793:c0,t2613587:c3,99
t1793:c0,t2685909:c3,96
t1793:c0,t2913168:c3,98
t1793:c0,t293084:c3,98
t1793:c0,t3103958:c3,92
t1793:c0,t3333417:c3,95
t1793:c0,t3333417:c3,97
t1793:c0,t3333417:c3,97
t1793:c0,t3350268:c3,92
t1793:c0,t3350268:c3,98
t1793:c0,t3350268:c3,98
t1793:c0,t3350268:c3,74
t1793:c0,t3553910:c3,99
t1793:c0,t3553910:c3,98
t1793:c0,t3553910:c3,99
t1793:c0,t3553910:c3,96
t1793:c0,t3553910:c3,85
t1793:c0,t3620174:c3,99
t1793:c0,t3672799:c3,99
t1793:c0,t3685616:c3,98
t1793:c0,t3685616:c3,93
t1793:c0,t3685616:c3,97
t1793:c0,t3685616:c3,97
t1793:c0,t4059781:c3,97
t1793:c0,t4115702:c3,97
t1793:c0,t4211586:c3,99
t1793:c0,t4247558:c3,97
t1793:c0,t4490020:c3,72
t1793:c0,t4723103:c3,98
t1793:c0,t4755950:c3,98
t1793:c0,t4811582:c3,98
t1793:c0,t4811582:c3,98
t1793:c0,t4811582:c3,99
t1793:c0,t4811582:c3,82
t1793:c0,t4895760:c3,98
t1793:c0,t4948579:c3,97
t1793:c0,t5034440:c3,99
t1793:c0,t511178:c3,99
t1793:c0,t5229366:c3,98
t1793:c0,t5229366:c3,99
t1793:c0,t5229366:c3,94
t1793:c0,t5229366:c3,85
