k;s;d;recall;
305;(57563,0,1);0.291470;1.000000;
306;(15223,0,1);0.291639;1.000000;
307;(22706,0,1);0.291639;1.000000;
308;(76044,3,435);0.291770;1.000000;
309;(115948,2,46);0.292005;1.000000;
310;(35966,3,5);0.292105;1.000000;
311;(101814,0,6);0.292758;1.000000;
312;(105780,0,24);0.292851;1.000000;
313;(1485,0,22);0.293071;1.000000;
314;(62106,0,6);0.293341;1.000000;
315;(98024,4,549);0.293368;1.000000;
316;(93323,3,57);0.293627;1.000000;
317;(67209,1,8);0.294142;1.000000;
318;(13484,1,38);0.294232;1.000000;
319;(16664,0,2);0.294583;1.000000;
320;(65091,0,7);0.294583;1.000000;
321;(18740,0,0);0.295081;1.000000;
322;(43618,0,3);0.295081;1.000000;
323;(94429,4,242);0.295081;1.000000;
324;(111233,4,242);0.295081;1.000000;
325;(51474,1,44);0.295385;1.000000;
326;(76044,3,1330);0.295485;1.000000;
327;(3079,1,40);0.295652;1.000000;
328;(107410,4,36);0.295665;1.000000;
329;(33507,3,0);0.295923;1.000000;
330;(87657,1,89);0.296425;1.000000;
331;(76044,3,1247);0.296555;1.000000;
332;(45099,3,11);0.296598;1.000000;
333;(76044,3,622);0.296982;1.000000;
334;(4591,2,37);0.296991;1.000000;
335;(21895,6,18);0.297154;1.000000;
336;(95574,0,135);0.297182;1.000000;
337;(115451,2,71);0.297247;1.000000;
338;(65326,3,7);0.297372;1.000000;
339;(23826,3,2);0.297384;1.000000;
340;(113772,0,1);0.297385;1.000000;
341;(64605,1,1);0.298177;1.000000;
342;(29615,1,6);0.298214;1.000000;
343;(34119,1,15);0.298214;1.000000;
344;(37354,1,1);0.298214;1.000000;
345;(87391,1,28);0.298214;1.000000;
346;(89845,1,4);0.298214;1.000000;
347;(107782,0,11);0.298214;1.000000;
348;(109045,1,7);0.298214;1.000000;
349;(2758,1,104);0.298936;1.000000;
350;(2079,0,8);0.299241;1.000000;
351;(5872,1,1);0.299412;1.000000;
352;(97456,1,1);0.299412;1.000000;
353;(99600,1,1);0.299412;1.000000;
354;(30601,4,18);0.299450;1.000000;
355;(94120,6,0);0.299485;1.000000;
356;(65326,3,4);0.299567;1.000000;
357;(35209,1,2);0.299665;1.000000;
358;(107410,3,60);0.299666;1.000000;
359;(110370,2,1);0.299675;1.000000;
360;(53358,0,1);0.299819;1.000000;
361;(101641,1,112);0.299826;1.000000;
362;(76044,3,1329);0.299994;1.000000;
363;(40366,0,14);0.300352;1.000000;
364;(82239,1,2);0.300352;1.000000;
365;(82239,2,1);0.300352;1.000000;
366;(72701,2,17);0.300418;1.000000;
367;(78540,0,3);0.300418;1.000000;
368;(81571,0,48);0.300418;1.000000;
369;(87084,0,3);0.300418;1.000000;
370;(41229,3,2);0.300923;1.000000;
371;(86546,3,12);0.300923;1.000000;
372;(93205,3,12);0.300923;1.000000;
373;(30065,2,29);0.301025;1.000000;
374;(12089,0,0);0.301466;1.000000;
375;(96536,0,0);0.301684;1.000000;
376;(83146,2,41);0.301694;1.000000;
377;(77399,1,2);0.301839;1.000000;
378;(37704,3,6);0.301949;1.000000;
379;(56840,3,22);0.302011;1.000000;
380;(58363,3,25);0.302413;1.000000;
381;(63024,0,4);0.302497;1.000000;
382;(93323,12,107);0.302639;1.000000;
383;(94954,4,6);0.302716;1.000000;
384;(76044,3,1248);0.302920;1.000000;
385;(80199,1,10);0.302985;1.000000;
386;(18617,1,379);0.303043;1.000000;
387;(26950,0,9);0.303086;1.000000;
388;(90317,2,50);0.303138;1.000000;
389;(7370,3,11);0.303150;1.000000;
390;(57254,3,3);0.303150;1.000000;
391;(65165,3,28);0.303150;1.000000;
392;(67964,3,15);0.303150;1.000000;
393;(75022,3,14);0.303150;1.000000;
394;(80864,3,9);0.303150;1.000000;
395;(91977,3,10);0.303150;1.000000;
396;(101006,3,4);0.303150;1.000000;
397;(103364,3,24);0.303150;1.000000;
398;(112095,3,6);0.303150;1.000000;
399;(113306,3,28);0.303150;1.000000;
400;(72758,4,62);0.303186;1.000000;
401;(23183,2,0);0.303310;1.000000;
402;(7383,2,189);0.303338;1.000000;
403;(46423,0,103);0.303496;1.000000;
404;(36604,3,52);0.303496;1.000000;
405;(96755,0,12);0.303496;1.000000;
406;(107410,1,39);0.303496;1.000000;
407;(35267,0,11);0.303622;1.000000;
408;(49843,7,162);0.303645;1.000000;
409;(35267,1,8);0.303828;1.000000;
410;(70237,1,37);0.304426;1.000000;
411;(31923,4,1);0.304686;1.000000;
412;(7094,1,36);0.304711;1.000000;
413;(26900,1,0);0.304821;1.000000;
414;(4428,0,5);0.305207;1.000000;
415;(88817,1,4);0.305301;1.000000;
416;(4333,0,6);0.305402;1.000000;
417;(8148,0,3);0.305402;1.000000;
418;(15110,0,2);0.305402;1.000000;
419;(15531,0,10);0.305402;1.000000;
420;(16951,0,2);0.305402;1.000000;
421;(17065,0,8);0.305402;1.000000;
422;(29545,0,1);0.305402;1.000000;
423;(32320,0,7);0.305402;1.000000;
424;(32987,1,2);0.305402;1.000000;
425;(34881,0,3);0.305402;1.000000;
426;(37533,0,3);0.305402;1.000000;
427;(47665,0,4);0.305402;1.000000;
428;(48573,0,18);0.305402;1.000000;
429;(60961,0,4);0.305402;1.000000;
430;(70968,0,1);0.305402;1.000000;
431;(74317,0,0);0.305402;1.000000;
432;(75763,0,8);0.305402;1.000000;
433;(80457,0,11);0.305402;1.000000;
434;(85505,2,9);0.305402;1.000000;
435;(89075,0,8);0.305402;1.000000;
436;(92708,0,21);0.305402;1.000000;
437;(110282,0,0);0.305402;1.000000;
438;(111412,1,222);0.305402;1.000000;
439;(111576,0,2);0.305402;1.000000;
440;(116032,0,0);0.305402;1.000000;
441;(4591,2,63);0.305447;1.000000;
442;(32981,1,129);0.305447;1.000000;
443;(115451,2,62);0.305447;1.000000;
444;(62844,4,7);0.306074;1.000000;
445;(86139,3,92);0.306074;1.000000;
446;(66871,8,16);0.306085;1.000000;
447;(115365,0,2);0.306085;1.000000;
448;(51764,2,4);0.306421;1.000000;
449;(13722,0,1);0.306740;1.000000;
450;(39638,1,21);0.306864;1.000000;
451;(32981,0,42);0.306949;1.000000;
452;(90961,4,4);0.307154;1.000000;
453;(102568,1,2);0.307357;1.000000;
454;(38889,15,57);0.307397;1.000000;
455;(40251,3,65);0.307604;1.000000;
456;(34146,1,6);0.307761;1.000000;
457;(24561,0,14);0.307866;1.000000;
458;(93126,0,1);0.307950;1.000000;
459;(10856,4,0);0.307966;1.000000;
460;(49121,2,11);0.308016;1.000000;
461;(77662,1,776);0.308053;1.000000;
