k;s;d;recall;
121;(81745,0,0);0.189216;1.000000;
122;(81912,0,15);0.189216;1.000000;
123;(81954,0,13);0.189216;1.000000;
124;(84560,0,2);0.189216;1.000000;
125;(84990,0,15);0.189216;1.000000;
126;(89308,0,0);0.189216;1.000000;
127;(90374,0,15);0.189216;1.000000;
128;(93015,0,15);0.189216;1.000000;
129;(93810,0,5);0.189216;1.000000;
130;(94215,0,5);0.189216;1.000000;
131;(94690,0,15);0.189216;1.000000;
132;(95334,0,0);0.189216;1.000000;
133;(95924,0,0);0.189216;1.000000;
134;(97547,0,0);0.189216;1.000000;
135;(97734,0,0);0.189216;1.000000;
136;(98422,0,15);0.189216;1.000000;
137;(98709,0,0);0.189216;1.000000;
138;(101817,0,2);0.189216;1.000000;
139;(108294,0,1);0.189216;1.000000;
140;(108304,0,10);0.189216;1.000000;
141;(109750,0,15);0.189216;1.000000;
142;(111791,0,0);0.189216;1.000000;
143;(112949,0,15);0.189216;1.000000;
144;(115292,0,2);0.189216;1.000000;
145;(45717,0,4);0.203095;1.000000;
146;(110308,0,31);0.203095;1.000000;
147;(88814,0,2834);0.212025;1.000000;
148;(80234,1,2);0.214319;1.000000;
149;(54282,2,1);0.215043;1.000000;
150;(80234,3,1);0.215043;1.000000;
151;(84954,3,557);0.219948;1.000000;
152;(84954,4,523);0.219948;1.000000;
153;(56635,1,43);0.222184;1.000000;
154;(95549,0,6);0.223432;1.000000;
155;(65326,3,13);0.225959;1.000000;
156;(76044,3,1352);0.227647;1.000000;
157;(113267,0,3);0.229116;1.000000;
158;(53948,1,2);0.236092;1.000000;
159;(23788,1,4);0.241799;1.000000;
160;(46423,0,103);0.242778;1.000000;
161;(80453,1,1);0.243092;1.000000;
162;(26850,1,1);0.243936;1.000000;
163;(32981,0,42);0.244107;1.000000;
164;(46676,0,149);0.244642;1.000000;
165;(14249,0,7);0.245160;1.000000;
166;(15134,3,16);0.245160;1.000000;
167;(38065,0,11);0.245160;1.000000;
168;(67362,0,11);0.245160;1.000000;
169;(108905,0,11);0.245160;1.000000;
170;(105874,1,1431);0.247299;1.000000;
171;(84954,3,556);0.247849;1.000000;
172;(84954,3,520);0.247869;1.000000;
173;(114635,2,2);0.248189;1.000000;
174;(63714,3,111);0.248553;1.000000;
175;(41115,0,0);0.249158;1.000000;
176;(78021,1,34);0.249261;1.000000;
177;(1081,1,0);0.249296;1.000000;
178;(84507,3,11);0.250334;1.000000;
179;(94429,4,78);0.250334;1.000000;
180;(111233,4,78);0.250334;1.000000;
181;(42577,0,0);0.251296;1.000000;
182;(83810,3,265);0.251460;1.000000;
183;(113663,0,2);0.251556;1.000000;
184;(53046,1,436);0.252005;1.000000;
185;(7369,0,23);0.252663;1.000000;
186;(9175,0,23);0.252663;1.000000;
187;(10283,0,23);0.252663;1.000000;
188;(11835,0,10);0.252663;1.000000;
189;(13459,0,23);0.252663;1.000000;
190;(19230,0,23);0.252663;1.000000;
191;(21879,0,13);0.252663;1.000000;
192;(24739,0,23);0.252663;1.000000;
193;(24806,0,21);0.252663;1.000000;
194;(24922,0,23);0.252663;1.000000;
195;(28086,0,21);0.252663;1.000000;
196;(29659,0,7);0.252663;1.000000;
197;(30131,0,7);0.252663;1.000000;
198;(33418,0,23);0.252663;1.000000;
199;(33929,0,23);0.252663;1.000000;
200;(34224,3,4);0.252663;1.000000;
201;(39552,0,16);0.252663;1.000000;
202;(39817,0,23);0.252663;1.000000;
203;(40000,0,23);0.252663;1.000000;
204;(41279,0,14);0.252663;1.000000;
205;(43003,0,23);0.252663;1.000000;
206;(44001,0,21);0.252663;1.000000;
207;(44856,0,23);0.252663;1.000000;
208;(45089,0,23);0.252663;1.000000;
209;(45717,0,12);0.252663;1.000000;
210;(49783,0,23);0.252663;1.000000;
211;(51320,0,10);0.252663;1.000000;
212;(52426,0,23);0.252663;1.000000;
213;(52897,0,23);0.252663;1.000000;
214;(55222,0,10);0.252663;1.000000;
215;(56589,0,9);0.252663;1.000000;
216;(56776,0,10);0.252663;1.000000;
217;(57556,0,21);0.252663;1.000000;
218;(57970,0,21);0.252663;1.000000;
219;(58987,0,9);0.252663;1.000000;
220;(60313,0,23);0.252663;1.000000;
221;(62478,0,6);0.252663;1.000000;
222;(63230,0,23);0.252663;1.000000;
223;(63336,0,23);0.252663;1.000000;
224;(64619,0,4);0.252663;1.000000;
225;(67111,0,5);0.252663;1.000000;
226;(71688,0,23);0.252663;1.000000;
227;(72376,0,23);0.252663;1.000000;
228;(73884,0,23);0.252663;1.000000;
229;(76199,0,23);0.252663;1.000000;
230;(76342,0,23);0.252663;1.000000;
231;(77902,0,23);0.252663;1.000000;
232;(80206,0,23);0.252663;1.000000;
233;(81745,0,6);0.252663;1.000000;
234;(81912,0,23);0.252663;1.000000;
235;(81954,0,21);0.252663;1.000000;
236;(84560,0,10);0.252663;1.000000;
237;(84990,0,23);0.252663;1.000000;
238;(89308,0,7);0.252663;1.000000;
239;(90374,0,23);0.252663;1.000000;
240;(93015,0,23);0.252663;1.000000;
241;(93810,0,13);0.252663;1.000000;
242;(94215,0,13);0.252663;1.000000;
243;(94690,0,23);0.252663;1.000000;
244;(95334,0,7);0.252663;1.000000;
245;(95924,0,5);0.252663;1.000000;
246;(97547,0,7);0.252663;1.000000;
247;(97734,0,7);0.252663;1.000000;
248;(98422,0,23);0.252663;1.000000;
249;(98709,0,7);0.252663;1.000000;
250;(101817,0,10);0.252663;1.000000;
251;(108294,0,9);0.252663;1.000000;
252;(108304,0,18);0.252663;1.000000;
253;(109750,0,23);0.252663;1.000000;
254;(110308,0,39);0.252663;1.000000;
255;(111791,0,7);0.252663;1.000000;
256;(112949,0,23);0.252663;1.000000;
257;(115292,0,10);0.252663;1.000000;
258;(11454,1,4);0.253628;1.000000;
259;(107410,4,42);0.253734;1.000000;
260;(56588,2,76);0.254124;1.000000;
261;(8237,1,5);0.254548;1.000000;
262;(84954,3,558);0.254775;1.000000;
263;(93740,1,8);0.254789;1.000000;
264;(45717,0,79);0.255360;1.000000;
265;(109531,2,52);0.255818;1.000000;
266;(71071,2,6);0.256161;1.000000;
267;(26461,2,25);0.256739;1.000000;
268;(75388,1,0);0.256839;1.000000;
269;(99126,0,2);0.257160;1.000000;
270;(23788,1,3);0.257468;1.000000;
271;(91908,6,21);0.257542;1.000000;
272;(37669,0,7);0.259129;1.000000;
273;(3903,0,56);0.260891;1.000000;
274;(58712,0,56);0.260891;1.000000;
275;(93323,12,241);0.261861;1.000000;
276;(112102,3,51);0.261881;1.000000;
277;(5420,1,1);0.262152;1.000000;
278;(39519,5,1);0.262630;1.000000;
279;(7821,0,2);0.262769;1.000000;
280;(22032,0,1);0.262904;1.000000;
281;(22702,0,1);0.262904;1.000000;
282;(31219,0,1);0.262904;1.000000;
283;(71870,0,1);0.262904;1.000000;
284;(111754,0,1);0.262904;1.000000;
285;(32628,2,36);0.262939;1.000000;
286;(31704,0,3);0.263180;1.000000;
287;(43432,2,4);0.263180;1.000000;
288;(94429,4,254);0.263180;1.000000;
289;(111233,4,254);0.263180;1.000000;
290;(6387,3,8);0.263334;1.000000;
291;(112468,1,2);0.264419;1.000000;
292;(37079,4,64);0.264574;1.000000;
293;(62844,4,20);0.265064;1.000000;
294;(30065,2,20);0.265177;1.000000;
295;(60713,0,262);0.265293;1.000000;
296;(90579,0,249);0.265293;1.000000;
297;(98936,1,171);0.265473;1.000000;
298;(98936,1,172);0.265793;1.000000;
299;(30477,0,1);0.265905;1.000000;
300;(88679,4,331);0.266672;1.000000;
301;(45001,3,45);0.267071;1.000000;
302;(90174,2,2);0.267071;1.000000;
303;(78454,0,162);0.267827;1.000000;
304;(16889,0,79);0.267910;1.000000;
305;(51715,1,0);0.268329;1.000000;
306;(52197,1,0);0.268329;1.000000;
307;(57018,1,0);0.268329;1.000000;
308;(66469,1,0);0.268329;1.000000;
309;(76031,0,48);0.268329;1.000000;
310;(77568,1,0);0.268329;1.000000;
311;(101590,1,0);0.268329;1.000000;
312;(111857,1,0);0.268329;1.000000;
313;(50410,4,4);0.268615;1.000000;
314;(37911,3,1);0.268715;1.000000;
315;(89775,3,1);0.268715;1.000000;
316;(3413,0,2);0.269222;1.000000;
317;(6007,0,3);0.269222;1.000000;
318;(18211,0,5);0.269222;1.000000;
319;(31875,0,32);0.269222;1.000000;
320;(43369,0,3);0.269222;1.000000;
321;(62143,0,4);0.269222;1.000000;
322;(63824,0,30);0.269222;1.000000;
323;(66353,0,12);0.269222;1.000000;
324;(73759,0,7);0.269222;1.000000;
325;(76969,0,7);0.269222;1.000000;
326;(104095,0,4);0.269222;1.000000;
327;(93072,0,1);0.269486;1.000000;
328;(97916,2,591);0.270060;1.000000;
329;(67291,4,11);0.270620;1.000000;
330;(62792,0,5);0.270894;1.000000;
331;(10856,4,0);0.270899;1.000000;
332;(102896,4,1);0.271824;1.000000;
333;(7821,0,6);0.271880;1.000000;
334;(21397,0,2);0.272045;1.000000;
335;(23788,1,5);0.272723;1.000000;
336;(46676,0,188);0.272905;1.000000;
337;(36604,2,56);0.273294;1.000000;
338;(38889,15,4);0.273794;1.000000;
339;(46423,0,102);0.274040;1.000000;
340;(1184,2,59);0.274134;1.000000;
341;(24418,4,8);0.274134;1.000000;
342;(82465,0,0);0.274134;1.000000;
343;(10856,4,2);0.274205;1.000000;
344;(109531,2,51);0.274205;1.000000;
345;(11966,3,2);0.274456;1.000000;
346;(25117,3,6);0.274456;1.000000;
347;(27712,3,3);0.274456;1.000000;
348;(54135,3,9);0.274456;1.000000;
349;(67049,3,7);0.274456;1.000000;
350;(69079,2,170);0.274456;1.000000;
351;(77123,3,12);0.274456;1.000000;
352;(86546,3,5);0.274456;1.000000;
353;(88627,0,4);0.274456;1.000000;
354;(93335,3,11);0.274456;1.000000;
355;(5826,0,1);0.275082;1.000000;
356;(6262,0,1);0.275082;1.000000;
357;(66654,0,1);0.275082;1.000000;
358;(105968,0,1);0.275082;1.000000;
359;(108408,0,23);0.275459;1.000000;
360;(9125,1,3);0.275594;1.000000;
361;(3844,0,23);0.275794;1.000000;
362;(49843,7,73);0.275934;1.000000;
363;(73142,0,104);0.276187;1.000000;
364;(75708,0,105);0.276187;1.000000;
365;(37079,4,7);0.276247;1.000000;
366;(109531,2,47);0.276247;1.000000;
367;(49942,1,1);0.276313;1.000000;
368;(100938,1,1);0.276313;1.000000;
369;(11598,5,5);0.276370;1.000000;
370;(16199,3,18);0.276370;1.000000;
371;(24111,0,2);0.276370;1.000000;
372;(36987,3,1);0.276370;1.000000;
373;(45307,5,6);0.276370;1.000000;
374;(46622,3,7);0.276370;1.000000;
375;(47170,3,1);0.276370;1.000000;
376;(100635,3,1);0.276370;1.000000;
377;(103916,0,2);0.276370;1.000000;
378;(105400,3,2);0.276370;1.000000;
379;(107319,3,18);0.276370;1.000000;
380;(3938,0,175);0.276618;1.000000;
381;(30065,2,21);0.276669;1.000000;
382;(65907,0,62);0.276721;1.000000;
383;(111888,0,22);0.276721;1.000000;
384;(90317,3,85);0.277002;1.000000;
385;(23788,1,8);0.277018;1.000000;
386;(93938,2,1);0.277589;1.000000;
387;(73128,1,1);0.277982;1.000000;
388;(101501,1,2);0.278036;1.000000;
389;(74273,0,8);0.278124;1.000000;
390;(32721,0,1);0.278382;1.000000;
391;(76044,3,1351);0.278512;1.000000;
392;(5867,3,4);0.278610;1.000000;
393;(3938,0,233);0.278646;1.000000;
394;(38399,1,26);0.278948;1.000000;
395;(42748,1,25);0.278948;1.000000;
396;(73195,1,24);0.278948;1.000000;
397;(77230,1,37);0.278948;1.000000;
398;(89276,1,26);0.278948;1.000000;
399;(34716,0,2);0.279014;1.000000;
400;(30674,0,2);0.279326;1.000000;
401;(27180,0,67);0.279340;1.000000;
402;(84954,3,554);0.279438;1.000000;
403;(26492,1,25);0.279520;1.000000;
404;(40251,3,69);0.279778;1.000000;
405;(18287,1,18);0.279799;1.000000;
406;(115210,1,2);0.279963;1.000000;
407;(113405,0,19);0.280325;1.000000;
408;(63470,0,1);0.280566;1.000000;
409;(5951,2,7);0.280806;1.000000;
410;(46927,2,6);0.280806;1.000000;
411;(61085,0,3);0.281002;1.000000;
412;(46676,0,191);0.281032;1.000000;
413;(2758,1,109);0.281193;1.000000;
414;(23788,1,9);0.281556;1.000000;
415;(77213,1,2);0.281706;1.000000;
416;(89587,1,108);0.281986;1.000000;
417;(91951,3,13);0.282049;1.000000;
418;(38889,15,57);0.282071;1.000000;
419;(20746,1,2);0.282238;1.000000;
420;(105980,0,3);0.282714;1.000000;
421;(109600,2,15);0.282720;1.000000;
422;(109458,1,14);0.282741;1.000000;
423;(114084,1,2);0.282741;1.000000;
424;(65409,0,51);0.282759;1.000000;
425;(24870,2,11);0.282927;1.000000;
426;(40984,4,6);0.282931;1.000000;
427;(105874,1,1429);0.283763;1.000000;
428;(27710,0,25);0.283938;1.000000;
429;(7369,0,22);0.284005;1.000000;
430;(9175,0,22);0.284005;1.000000;
431;(10283,0,22);0.284005;1.000000;
432;(11835,0,9);0.284005;1.000000;
433;(13459,0,22);0.284005;1.000000;
434;(19230,0,22);0.284005;1.000000;
435;(21879,0,12);0.284005;1.000000;
436;(24739,0,22);0.284005;1.000000;
437;(24806,0,20);0.284005;1.000000;
438;(24922,0,22);0.284005;1.000000;
439;(28086,0,20);0.284005;1.000000;
440;(29659,0,6);0.284005;1.000000;
441;(30131,0,6);0.284005;1.000000;
442;(33418,0,22);0.284005;1.000000;
443;(33929,0,22);0.284005;1.000000;
444;(39552,0,15);0.284005;1.000000;
445;(39817,0,22);0.284005;1.000000;
446;(40000,0,22);0.284005;1.000000;
447;(41279,0,13);0.284005;1.000000;
448;(43003,0,22);0.284005;1.000000;
449;(44001,0,20);0.284005;1.000000;
450;(44856,0,22);0.284005;1.000000;
451;(45089,0,22);0.284005;1.000000;
452;(49783,0,22);0.284005;1.000000;
453;(51320,0,9);0.284005;1.000000;
454;(52426,0,22);0.284005;1.000000;
455;(52897,0,22);0.284005;1.000000;
456;(55222,0,9);0.284005;1.000000;
457;(56589,0,8);0.284005;1.000000;
458;(56776,0,9);0.284005;1.000000;
459;(57556,0,20);0.284005;1.000000;
460;(57970,0,20);0.284005;1.000000;
461;(58987,0,8);0.284005;1.000000;
462;(60313,0,22);0.284005;1.000000;
463;(62478,0,5);0.284005;1.000000;
464;(63230,0,22);0.284005;1.000000;
465;(63336,0,22);0.284005;1.000000;
466;(71688,0,22);0.284005;1.000000;
467;(72376,0,22);0.284005;1.000000;
468;(73884,0,22);0.284005;1.000000;
469;(76199,0,22);0.284005;1.000000;
470;(76342,0,22);0.284005;1.000000;
471;(77902,0,22);0.284005;1.000000;
472;(80206,0,22);0.284005;1.000000;
473;(81745,0,5);0.284005;1.000000;
474;(81912,0,22);0.284005;1.000000;
475;(81954,0,20);0.284005;1.000000;
476;(84560,0,9);0.284005;1.000000;
477;(84990,0,22);0.284005;1.000000;
478;(89308,0,6);0.284005;1.000000;
479;(90374,0,22);0.284005;1.000000;
480;(93015,0,22);0.284005;1.000000;
481;(93810,0,12);0.284005;1.000000;
482;(94215,0,12);0.284005;1.000000;
483;(94690,0,22);0.284005;1.000000;
484;(95334,0,6);0.284005;1.000000;
485;(97547,0,6);0.284005;1.000000;
486;(97734,0,6);0.284005;1.000000;
487;(98422,0,22);0.284005;1.000000;
488;(98709,0,6);0.284005;1.000000;
489;(101817,0,9);0.284005;1.000000;
490;(108294,0,8);0.284005;1.000000;
491;(108304,0,17);0.284005;1.000000;
492;(109750,0,22);0.284005;1.000000;
493;(111791,0,6);0.284005;1.000000;
494;(112949,0,22);0.284005;1.000000;
495;(115292,0,9);0.284005;1.000000;
496;(112102,3,44);0.284340;1.000000;
497;(2758,1,104);0.284367;1.000000;
498;(94954,0,13);0.284427;1.000000;
499;(63935,1,11);0.284462;1.000000;
500;(3680,2,35);0.284570;1.000000;
501;(79916,1,1);0.284593;1.000000;
502;(37320,0,0);0.284626;1.000000;
503;(30920,0,6);0.284697;1.000000;
504;(47705,4,577);0.284855;1.000000;
505;(107410,3,60);0.284990;1.000000;
506;(62844,4,6);0.285167;1.000000;
507;(13484,1,38);0.285228;1.000000;
508;(56840,3,22);0.285361;1.000000;
509;(23502,1,2);0.285512;1.000000;
510;(20240,0,0);0.285688;1.000000;
511;(62732,1,4);0.285800;1.000000;
512;(100584,0,5);0.285926;1.000000;
513;(70052,4,25);0.286191;1.000000;
514;(38459,0,15);0.286295;1.000000;
515;(87329,6,19);0.286323;1.000000;
516;(13720,2,18);0.286500;1.000000;
517;(64308,0,0);0.286506;1.000000;
518;(79323,2,47);0.286730;1.000000;
519;(72881,0,5);0.286856;1.000000;
520;(69405,0,4);0.286869;1.000000;
521;(100609,4,9);0.287001;1.000000;
522;(73142,0,127);0.287020;1.000000;
523;(75708,0,128);0.287020;1.000000;
524;(67291,4,10);0.287198;1.000000;
525;(24057,0,1);0.287314;1.000000;
526;(69038,16,4);0.287314;1.000000;
527;(88627,0,2);0.287314;1.000000;
528;(1320,2,11);0.287506;1.000000;
529;(12272,1,2);0.287527;1.000000;
530;(101538,9,0);0.287527;1.000000;
531;(106077,10,1);0.287527;1.000000;
532;(63870,1,0);0.287729;1.000000;
533;(79766,3,6);0.287729;1.000000;
534;(83918,7,14);0.287729;1.000000;
535;(107410,3,88);0.287729;1.000000;
536;(116082,0,7);0.287729;1.000000;
537;(81571,0,70);0.287813;1.000000;
538;(15588,2,8);0.287858;1.000000;
539;(24645,0,108);0.288287;1.000000;
540;(37079,4,49);0.288333;1.000000;
541;(106286,0,2);0.288333;1.000000;
542;(35966,3,5);0.288338;1.000000;
543;(88627,0,6);0.288397;1.000000;
544;(108894,0,71);0.288517;1.000000;
545;(1184,2,61);0.288613;1.000000;
546;(109531,2,48);0.288613;1.000000;
547;(75473,1,2);0.288681;1.000000;
548;(45127,1,187);0.288699;1.000000;
549;(26229,0,42);0.289075;1.000000;
550;(6377,1,5);0.289116;1.000000;
551;(10787,1,29);0.289116;1.000000;
552;(17229,1,5);0.289116;1.000000;
553;(52470,1,21);0.289116;1.000000;
554;(57790,2,64);0.289116;1.000000;
555;(57880,1,5);0.289116;1.000000;
556;(67890,1,5);0.289116;1.000000;
557;(113961,1,5);0.289116;1.000000;
558;(101814,0,6);0.289215;1.000000;
559;(103712,4,86);0.289351;1.000000;
560;(112961,0,25);0.289496;1.000000;
561;(89903,0,2);0.289531;1.000000;
562;(14308,1,3);0.289593;1.000000;
563;(69726,1,3);0.289593;1.000000;
564;(46676,0,118);0.289783;1.000000;
565;(26154,4,75);0.289840;1.000000;
566;(45717,0,11);0.289920;1.000000;
567;(110308,0,38);0.289920;1.000000;
568;(102210,1,55);0.289932;1.000000;
569;(29615,1,6);0.289943;1.000000;
570;(34119,1,15);0.289943;1.000000;
571;(37354,1,1);0.289943;1.000000;
572;(87391,1,28);0.289943;1.000000;
573;(89845,1,4);0.289943;1.000000;
574;(107782,0,11);0.289943;1.000000;
575;(109045,1,7);0.289943;1.000000;
576;(107410,4,40);0.290044;1.000000;
577;(30065,2,24);0.290189;1.000000;
578;(65326,3,14);0.290189;1.000000;
579;(32628,2,34);0.290205;1.000000;
580;(111498,0,1);0.290258;1.000000;
581;(35267,1,8);0.290478;1.000000;
582;(23876,1,0);0.291038;1.000000;
583;(77662,1,584);0.291120;1.000000;
584;(63301,0,17);0.291256;1.000000;
585;(64097,0,27);0.291256;1.000000;
586;(66387,0,42);0.291256;1.000000;
587;(81299,0,1);0.291256;1.000000;
588;(18111,0,13);0.291519;1.000000;
589;(94174,1,1);0.291769;1.000000;
590;(46423,3,40);0.291877;1.000000;
591;(46423,6,21);0.291877;1.000000;
592;(7648,4,2);0.291992;1.000000;
593;(88475,4,3);0.291992;1.000000;
594;(72851,1,1);0.292150;1.000000;
595;(93970,3,177);0.292179;1.000000;
596;(7383,2,84);0.292193;1.000000;
597;(48838,2,1);0.292232;1.000000;
598;(75622,2,2);0.292411;1.000000;
599;(7821,0,12);0.292598;1.000000;
600;(16889,0,80);0.292756;1.000000;
601;(56588,2,62);0.292765;1.000000;
602;(5826,0,8);0.292911;1.000000;
603;(6262,0,8);0.292911;1.000000;
604;(66654,0,8);0.292911;1.000000;
605;(105968,0,8);0.292911;1.000000;
606;(101084,3,3);0.293040;1.000000;
607;(1290,0,20);0.293209;1.000000;
608;(3433,0,20);0.293209;1.000000;
609;(5419,0,20);0.293209;1.000000;
610;(15134,3,14);0.293209;1.000000;
611;(31520,2,12);0.293209;1.000000;
612;(103758,6,8);0.293209;1.000000;
613;(104525,0,20);0.293209;1.000000;
614;(73746,2,30);0.293272;1.000000;
615;(101620,1,102);0.293442;1.000000;
616;(32628,2,38);0.293475;1.000000;
617;(91735,3,4);0.293487;1.000000;
618;(37079,4,6);0.293618;1.000000;
619;(55206,0,80);0.293699;1.000000;
620;(37079,4,65);0.293730;1.000000;
621;(61696,1,5);0.293847;1.000000;
622;(52533,1,41);0.294351;1.000000;
623;(45717,0,77);0.294396;1.000000;
624;(110308,0,103);0.294396;1.000000;
625;(83079,3,0);0.294463;1.000000;
626;(49513,5,3);0.294481;1.000000;
627;(64240,2,25);0.294514;1.000000;
628;(92112,0,132);0.294545;1.000000;
629;(83570,6,4);0.294604;1.000000;
630;(36945,0,2);0.294676;1.000000;
631;(36945,1,0);0.294676;1.000000;
632;(1184,2,62);0.294688;1.000000;
633;(109531,2,50);0.294688;1.000000;
634;(99223,0,131);0.294930;1.000000;
635;(8849,1,0);0.295145;1.000000;
636;(38465,1,3);0.295194;1.000000;
637;(81776,2,20);0.295194;1.000000;
638;(115396,4,3);0.295194;1.000000;
639;(89836,3,2);0.295315;1.000000;
640;(67121,0,4);0.295385;1.000000;
641;(85226,1,9);0.295445;1.000000;
642;(57561,2,4);0.295493;1.000000;
643;(69624,2,2);0.295493;1.000000;
644;(64240,2,24);0.295494;1.000000;
645;(102928,2,30);0.295494;1.000000;
646;(37320,0,1);0.295535;1.000000;
647;(53095,1,2);0.296031;0.998454;
648;(105565,1,2);0.296031;0.996914;
649;(95647,1,84);0.296052;0.995377;
650;(40669,7,8);0.296091;0.993846;
651;(112813,1,9);0.296107;0.992320;
652;(100302,1,765);0.296213;0.990798;
653;(105113,2,0);0.296218;0.989280;
654;(60933,0,203);0.296274;0.987768;
655;(32628,2,64);0.296296;0.986260;
656;(67209,1,68);0.296341;0.984756;
657;(65326,3,2);0.296346;0.983257;
658;(68736,0,8);0.296374;0.981763;
659;(62489,2,1359);0.296378;0.980273;
660;(881,0,13);0.296414;0.978788;
661;(31724,2,26);0.296416;0.977307;
662;(45211,4,6);0.296534;0.975831;
663;(89350,4,2);0.296534;0.974359;
664;(10057,0,0);0.296561;0.972892;
665;(95150,0,10);0.296685;0.971429;
