k,querytime,nb_threads,knn data structure
100000,17.146933,64,kashif (minmax-heap)
100000,12.175693,64,kashif (minmax-heap)
100000,17.153267,64,kashif (minmax-heap)
500000,56.014678,64,kashif (minmax-heap)
500000,49.373344,64,kashif (minmax-heap)
500000,62.533456,64,kashif (minmax-heap)
500000,53.574758,64,kashif (minmax-heap)
500000,45.157574,64,kashif (minmax-heap)
500000,65.957668,64,kashif (minmax-heap)
500000,119.926491,64,kashif (minmax-heap)
500000,91.692116,64,kashif (minmax-heap)
500000,91.921712,64,kashif (minmax-heap)
500000,91.148864,64,kashif (minmax-heap)
1000000,191.141512,64,kashif (minmax-heap)
1000000,82.806976,64,kashif (minmax-heap)
1000000,95.736680,64,kashif (minmax-heap)
1000000,217.666264,64,kashif (minmax-heap)
1000000,219.645848,64,kashif (minmax-heap)
1000000,163.336384,64,kashif (minmax-heap)
